,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
529,Talnakh,69.4865,88.3972,32.23,98,100,14.18,RU,overcast clouds,2021-04-23 02:08:01
530,Hobyo,5.3505,48.5268,83.53,69,100,10.2,SO,overcast clouds,2021-04-23 02:08:01
531,Solvychegodsk,61.3305,46.9156,39.96,91,98,6.58,RU,overcast clouds,2021-04-23 02:08:02
532,Guaraniacu,-25.1008,-52.8781,55.58,79,72,2.95,BR,broken clouds,2021-04-23 02:08:02
533,Broken Hill,-31.95,141.4333,60.8,51,7,8.05,AU,clear sky,2021-04-23 02:08:02
534,Lamu,-2.2717,40.902,78.51,86,100,10.67,KE,light rain,2021-04-23 02:08:02
535,Ndele,8.4109,20.6473,76.95,56,72,4.88,CF,broken clouds,2021-04-23 02:08:03
536,Isangel,-19.55,169.2667,82.9,72,66,6.69,VU,broken clouds,2021-04-23 02:08:03
537,Shambu,9.5667,37.1,56.79,68,100,2.98,ET,light rain,2021-04-23 02:08:03
538,Catalina,32.5056,-110.9211,71.01,22,0,1.01,US,clear sky,2021-04-23 02:08:04
539,Fort Nelson,58.8053,-122.7002,39.2,24,40,5.75,CA,scattered clouds,2021-04-23 02:08:04
540,Konosha,60.9736,40.257,35.15,95,12,5.91,RU,few clouds,2021-04-23 02:08:04
541,Igarka,67.4667,86.5833,32.49,98,94,14.72,RU,overcast clouds,2021-04-23 02:08:05
542,Rawson,-43.3002,-65.1023,57.34,53,0,5.28,AR,clear sky,2021-04-23 02:08:05
543,Kattivakkam,13.2167,80.3167,82.4,83,20,6.91,IN,mist,2021-04-23 02:08:05
544,Paita,-5.0892,-81.1144,71.4,76,42,16.49,PE,scattered clouds,2021-04-23 02:08:05
545,Cacule,-14.5033,-42.2222,67.42,91,99,0.98,BR,overcast clouds,2021-04-23 02:08:06
546,Reading,51.4562,-0.9711,37.99,87,0,4.61,GB,clear sky,2021-04-23 02:08:06
547,Baghmara,23.795,86.2085,87.44,26,0,5.48,IN,clear sky,2021-04-23 02:08:06
548,Benguela,-12.5763,13.4055,79.48,83,100,2.48,AO,overcast clouds,2021-04-23 02:05:04
549,Moberly,39.4184,-92.4382,51.8,40,40,4.61,US,scattered clouds,2021-04-23 02:08:07
550,Victoria Point,-27.5833,153.3,75.0,47,0,3.0,AU,clear sky,2021-04-23 02:08:07
551,Erzin,36.9559,36.2,55.99,89,2,5.01,TR,clear sky,2021-04-23 02:08:08
552,San Luis Rio Colorado,32.4631,-114.7767,78.8,22,1,8.05,MX,clear sky,2021-04-23 02:03:49
553,Sitka,57.0531,-135.33,48.2,66,75,4.61,US,broken clouds,2021-04-23 02:08:08
554,Braunau,50.5857,16.3318,39.0,76,78,4.41,CZ,broken clouds,2021-04-23 02:08:08
555,Santa Clara,22.4,-79.9667,77.0,44,20,4.61,CU,few clouds,2021-04-23 02:03:13
556,Abha,18.2164,42.5053,57.2,41,0,1.81,SA,clear sky,2021-04-23 02:05:06
557,Kingaroy,-26.5333,151.8333,72.0,32,8,6.91,AU,clear sky,2021-04-23 02:08:09
558,Gondanglegi,-7.7479,112.0132,82.27,66,9,8.81,ID,clear sky,2021-04-23 02:08:09
559,Skelleftea,64.7507,20.9528,35.01,64,90,16.11,SE,overcast clouds,2021-04-23 02:08:10
560,Kuah,6.3265,99.8432,77.0,94,40,4.61,MY,scattered clouds,2021-04-23 02:08:10
561,Kalabo,-14.97,22.6814,61.57,64,8,5.41,ZM,clear sky,2021-04-23 02:08:10
562,Pitelino,54.5777,41.8145,41.47,83,29,8.21,RU,scattered clouds,2021-04-23 02:08:11
563,Chacabuco,-34.6417,-60.4739,66.99,66,100,1.99,AR,overcast clouds,2021-04-23 02:05:27
564,Nkwerre,5.7556,7.1063,76.62,89,100,2.89,NG,overcast clouds,2021-04-23 02:08:11
565,Puertollano,38.6871,-4.1073,48.99,91,91,3.96,ES,overcast clouds,2021-04-23 02:08:11
566,Kokkola,63.8385,23.1307,33.01,100,90,11.5,FI,snow,2021-04-23 02:08:12
567,Inongo,-1.95,18.2667,72.91,90,78,3.87,CD,broken clouds,2021-04-23 02:08:12
568,Rosarno,38.4841,15.979,60.01,35,100,5.39,IT,moderate rain,2021-04-23 02:08:12
569,Sultepec,18.8667,-99.95,68.0,21,40,5.75,MX,scattered clouds,2021-04-23 02:08:13
570,Mareeba,-17.0,145.4333,81.0,89,40,6.91,AU,scattered clouds,2021-04-23 02:08:13
571,Nalut,30.3333,10.85,73.33,24,11,7.83,LY,few clouds,2021-04-23 02:08:13
572,Gerede,40.8008,32.1969,37.38,71,100,5.28,TR,overcast clouds,2021-04-23 02:08:14
573,Emerald,-23.5333,148.1667,72.0,49,90,13.8,AU,overcast clouds,2021-04-23 02:08:14
574,Tonj,7.2737,28.6822,77.7,72,100,6.02,SS,overcast clouds,2021-04-23 02:08:14
575,Ferrol,43.4832,-8.2369,55.99,100,99,5.75,ES,overcast clouds,2021-04-23 02:08:14
576,Auki,-8.7676,160.7034,84.96,69,86,1.34,SB,overcast clouds,2021-04-23 02:08:15
577,Abu Samrah,35.3029,37.1841,54.5,43,0,2.33,SY,clear sky,2021-04-23 02:08:15
578,Normandin,48.8333,-72.5321,33.8,51,100,14.97,CA,overcast clouds,2021-04-23 02:08:15
579,Dzaoudzi,-12.7887,45.2699,82.4,78,100,9.22,YT,light rain,2021-04-23 02:08:16
580,Kholodnyy,62.7167,147.95,23.88,84,100,1.59,RU,light snow,2021-04-23 02:08:16
581,Caravelas,-17.7125,-39.2481,72.95,89,93,4.59,BR,overcast clouds,2021-04-23 02:08:16
582,Cockburn Town,21.4612,-71.1419,78.17,79,2,17.05,TC,clear sky,2021-04-23 02:08:17
583,Kavaratti,10.5669,72.642,83.59,67,9,4.21,IN,clear sky,2021-04-23 02:08:17
584,Radom,51.4025,21.1471,39.0,86,7,9.62,PL,clear sky,2021-04-23 02:08:17
585,Tsumeb,-19.2333,17.7167,53.6,71,46,3.44,NA,scattered clouds,2021-04-23 02:08:17
586,Tikrit,34.6071,43.6782,71.74,16,4,10.49,IQ,clear sky,2021-04-23 02:08:18
587,Chililabombwe,-12.3648,27.8229,61.83,88,100,4.85,ZM,overcast clouds,2021-04-23 02:08:18
588,Kropotkin,45.4375,40.5756,44.33,93,0,6.26,RU,clear sky,2021-04-23 02:08:18
589,Edinburgh,55.9521,-3.1965,41.0,93,100,1.03,GB,mist,2021-04-23 02:08:19
590,Gazimurskiy Zavod,51.5461,118.3266,38.71,30,58,8.43,RU,broken clouds,2021-04-23 02:08:19
591,Nizhniy Tsasuchey,50.5167,115.1333,40.24,35,96,15.14,RU,light rain,2021-04-23 02:08:19
592,Tahoua,14.8888,5.2692,87.17,28,82,5.44,NE,broken clouds,2021-04-23 02:08:20
593,Rozivka,46.9385,35.7724,44.89,88,7,5.86,UA,clear sky,2021-04-23 02:08:20
594,Faya,18.3851,42.4509,57.2,41,0,1.81,SA,clear sky,2021-04-23 02:08:20
595,Okha,53.5739,142.9478,33.66,94,100,15.3,RU,overcast clouds,2021-04-23 02:08:21
596,Tumpat,6.1978,102.171,80.6,83,20,4.61,MY,few clouds,2021-04-23 02:08:21
597,Mangrol,21.1167,70.1167,80.28,74,100,9.15,IN,overcast clouds,2021-04-23 02:08:21
598,Roswell,34.0232,-84.3616,52.0,61,1,3.87,US,clear sky,2021-04-23 02:08:22
599,Pavlovsk,50.4578,40.1081,46.56,78,81,2.82,RU,broken clouds,2021-04-23 02:08:22
600,Turukhansk,65.8167,87.9833,29.52,91,67,12.1,RU,broken clouds,2021-04-23 02:08:22
601,Finschhafen,-6.6024,147.8681,85.26,70,86,7.94,PG,light rain,2021-04-23 02:08:23
602,Rundu,-17.9333,19.7667,57.33,48,1,6.76,NA,clear sky,2021-04-23 02:08:23
603,Anadyr,64.75,177.4833,17.6,93,0,13.42,RU,clear sky,2021-04-23 02:08:23
604,Hovd,48.0056,91.6419,33.48,30,100,4.36,MN,overcast clouds,2021-04-23 02:08:24
605,Rosarito,32.3333,-117.0333,59.0,72,90,4.61,MX,overcast clouds,2021-04-23 02:08:24
606,Sanmenxia,34.7747,111.1814,62.73,66,97,16.42,CN,light rain,2021-04-23 02:08:24
607,Puksoozero,62.5903,40.6066,33.26,95,83,4.56,RU,broken clouds,2021-04-23 02:08:25
608,Jalu,29.0331,21.5482,69.06,22,9,13.51,LY,clear sky,2021-04-23 02:08:25
609,Alberdi,-32.8899,-60.6906,69.8,83,0,4.61,AR,light rain,2021-04-23 02:08:25
610,Antofagasta,-23.65,-70.4,60.8,82,75,5.75,CL,broken clouds,2021-04-23 02:08:25
611,Batagay,67.6333,134.6333,17.8,71,38,3.47,RU,scattered clouds,2021-04-23 02:08:26
612,Lakes Entrance,-37.8811,147.981,64.99,48,95,4.0,AU,overcast clouds,2021-04-23 02:08:26
613,Davidson,36.1501,-86.7833,53.6,46,1,4.61,US,clear sky,2021-04-23 02:08:27
614,Canaries,28.0,-15.5,66.99,77,20,4.61,ES,few clouds,2021-04-23 02:08:27
615,Birjand,32.8663,59.2211,50.0,43,0,6.91,IR,clear sky,2021-04-23 02:08:27
616,Lima,-12.0432,-77.0282,64.4,88,20,9.22,PE,few clouds,2021-04-23 02:08:28
617,Kindu,-2.95,25.95,70.68,95,100,2.21,CD,overcast clouds,2021-04-23 02:08:28
618,Soyo,-6.1349,12.3689,79.0,88,100,6.51,AO,moderate rain,2021-04-23 02:08:28
619,Umm Kaddadah,13.6017,26.6876,80.65,17,62,12.46,SD,broken clouds,2021-04-23 02:08:29
620,Asosa,10.0667,34.5333,66.99,68,67,2.19,ET,broken clouds,2021-04-23 02:08:29
621,Vila,42.0304,-8.1588,48.99,93,100,1.01,PT,overcast clouds,2021-04-23 02:08:29
622,Mackay,-21.15,149.2,73.4,73,90,12.66,AU,light rain,2021-04-23 02:08:30
623,Corning,42.1428,-77.0547,37.4,60,90,13.8,US,snow,2021-04-23 02:08:30
624,Jiutai,44.1525,125.8328,51.8,76,90,2.24,CN,moderate rain,2021-04-23 02:08:30
625,Parabel,58.6978,81.4825,31.5,77,11,2.91,RU,few clouds,2021-04-23 02:08:31
626,Krumovgrad,41.4667,25.65,50.58,83,100,5.95,BG,overcast clouds,2021-04-23 02:08:31
627,Sumiswald,47.0275,7.7453,41.0,100,15,1.14,CH,few clouds,2021-04-23 02:08:31
628,Port Hardy,50.6996,-127.4199,59.0,41,40,14.97,CA,scattered clouds,2021-04-23 02:08:32
629,La Ronge,55.1001,-105.2842,24.8,42,100,11.5,CA,overcast clouds,2021-04-23 02:08:32
630,Puerto Del Rosario,28.5004,-13.8627,66.2,68,40,6.91,ES,scattered clouds,2021-04-23 02:08:32
631,San Jeronimo,-11.9472,-75.2829,44.62,93,99,2.35,PE,overcast clouds,2021-04-23 02:08:32
632,Northam,51.0333,-4.2167,44.01,77,0,1.99,GB,clear sky,2021-04-23 02:08:33
633,Silae,8.1589,125.2825,83.79,59,36,4.25,PH,scattered clouds,2021-04-23 02:08:33
634,Melfi,40.9965,15.6514,48.99,93,90,4.61,IT,fog,2021-04-23 02:08:33
635,Baixa Grande,-11.9597,-40.1681,71.17,94,94,1.81,BR,moderate rain,2021-04-23 02:08:34
636,Turan,16.0678,108.2208,86.0,70,20,4.61,VN,few clouds,2021-04-23 02:08:34
637,Jay,44.5039,-70.2162,32.0,63,67,5.01,US,broken clouds,2021-04-23 02:07:08
638,Pokhara,28.2333,83.9833,75.22,22,0,1.86,NP,clear sky,2021-04-23 02:08:35
639,Guasdualito,7.2424,-70.7324,78.8,78,20,1.14,VE,few clouds,2021-04-23 02:08:35
640,Nizwa,22.9333,57.5333,76.68,23,0,3.24,OM,clear sky,2021-04-23 02:08:35
641,Tezu,27.9167,96.1667,81.95,53,5,1.57,IN,clear sky,2021-04-23 02:08:35
642,Surt,31.2089,16.5887,71.85,31,15,18.3,LY,few clouds,2021-04-23 02:08:36
643,Manacapuru,-3.2997,-60.6206,75.2,100,40,2.3,BR,scattered clouds,2021-04-23 02:08:36
644,Ostrovnoy,68.0531,39.5131,33.12,97,94,8.93,RU,overcast clouds,2021-04-23 02:08:37
645,Port Moresby,-9.4431,147.1797,86.0,70,40,3.44,PG,haze,2021-04-23 02:08:37
646,Itapetininga,-23.5917,-48.0531,55.65,96,5,6.62,BR,clear sky,2021-04-23 02:08:37
647,Valparaiso,-33.0393,-71.6273,57.99,79,100,7.09,CL,overcast clouds,2021-04-23 02:03:54
648,Mount Pleasant,32.7941,-79.8626,52.0,71,1,6.78,US,clear sky,2021-04-23 02:08:10
649,Axim,4.8699,-2.2405,81.41,85,93,7.63,GH,overcast clouds,2021-04-23 02:08:38
650,Bam,29.106,58.357,75.24,17,3,5.59,IR,clear sky,2021-04-23 02:08:38
651,Goundi,9.3627,17.366,84.56,43,80,4.74,TD,broken clouds,2021-04-23 02:08:38
652,Sungairaya,0.7,108.9,85.66,65,90,5.5,ID,overcast clouds,2021-04-23 02:08:39
653,Maldonado,-34.6667,-54.9167,66.2,82,0,13.8,UY,clear sky,2021-04-23 02:08:39
654,Mamou,10.5,-12.0,75.87,69,59,2.44,GN,broken clouds,2021-04-23 02:08:39
655,Urumqi,43.801,87.6005,37.4,56,0,11.18,CN,clear sky,2021-04-23 02:08:40
656,Saint-Georges,12.0564,-61.7485,80.6,78,40,18.41,GD,scattered clouds,2021-04-23 02:08:40
657,Haapiti,-17.5667,-149.8667,87.8,62,75,6.91,PF,light rain,2021-04-23 02:08:40
658,Palu,-0.8917,119.8707,89.91,56,71,1.7,ID,broken clouds,2021-04-23 02:08:41
659,Dutse,11.7594,9.3392,80.74,27,39,8.7,NG,scattered clouds,2021-04-23 02:08:41
660,Victor Harbor,-35.5667,138.6167,64.0,71,81,3.0,AU,broken clouds,2021-04-23 02:08:42
661,Mitu,1.1983,-70.1733,74.34,95,98,1.95,CO,heavy intensity rain,2021-04-23 02:08:42
662,Susanville,40.4163,-120.653,66.2,18,40,14.97,US,scattered clouds,2021-04-23 02:08:42
663,La Seyne-Sur-Mer,43.0982,5.8847,53.6,71,0,5.75,FR,clear sky,2021-04-23 02:08:43
664,Necochea,-38.5473,-58.7368,62.01,96,100,1.99,AR,overcast clouds,2021-04-23 02:06:32
665,Kapoeta,4.7717,33.5903,75.97,64,100,9.35,SS,overcast clouds,2021-04-23 02:08:43
666,Fushan,37.4958,121.2581,54.16,94,100,7.38,CN,light rain,2021-04-23 02:08:43
667,Glowno,51.9646,19.7157,37.0,81,14,8.01,PL,few clouds,2021-04-23 02:08:44
668,Manakara,-22.1333,48.0167,70.38,86,6,2.01,MG,light rain,2021-04-23 02:08:11
669,Vestmanna,62.1564,-7.1664,41.0,87,75,5.14,FO,broken clouds,2021-04-23 02:08:44
670,Marfino,55.7028,37.3822,46.99,81,0,4.47,RU,clear sky,2021-04-23 02:08:44
671,Ferkessedougou,9.6,-5.2,74.82,79,100,6.96,CI,overcast clouds,2021-04-23 02:08:45
672,Fowa,8.9167,6.4,80.22,70,100,3.6,NG,overcast clouds,2021-04-23 02:08:45
673,Basco,20.4487,121.9702,78.17,80,19,15.12,PH,few clouds,2021-04-23 02:08:45
674,Birao,10.2849,22.7882,80.15,32,14,4.21,CF,few clouds,2021-04-23 02:08:45
675,Gondar,12.6,37.4667,65.88,46,99,4.79,ET,overcast clouds,2021-04-23 02:08:46
676,Abbeville,50.1,1.8333,39.0,84,5,7.76,FR,clear sky,2021-04-23 02:06:02
677,San Rafael Del Sur,11.8485,-86.4384,87.8,51,40,13.8,NI,scattered clouds,2021-04-23 02:08:46
678,Aurora,39.7294,-104.8319,46.4,70,40,5.79,US,scattered clouds,2021-04-23 02:06:49
679,Ginda,30.6945,78.4932,54.19,62,88,5.01,IN,moderate rain,2021-04-23 02:08:47
680,Dhidhdhoo,6.8833,73.1,83.39,71,25,6.55,MV,scattered clouds,2021-04-23 02:08:47
681,Asifabad,19.3667,79.2833,88.57,35,35,0.87,IN,scattered clouds,2021-04-23 02:08:47
682,Kaihua,23.3687,104.28,73.11,66,40,13.27,CN,scattered clouds,2021-04-23 02:07:21
683,Aitape,-3.1374,142.3475,84.63,71,100,5.26,PG,overcast clouds,2021-04-23 02:08:48
684,Kudymkar,59.0173,54.656,39.33,94,95,7.27,RU,overcast clouds,2021-04-23 02:08:48
685,Weligama,5.9667,80.4167,79.88,84,20,8.16,LK,few clouds,2021-04-23 02:08:48
686,Eureka,40.8021,-124.1637,54.0,74,9,8.01,US,clear sky,2021-04-23 02:08:26
687,Cap Malheureux,-19.9842,57.6142,73.99,84,100,4.0,MU,moderate rain,2021-04-23 02:08:49
688,Pizarro,4.9533,-77.366,78.8,83,93,3.98,CO,overcast clouds,2021-04-23 02:08:49
689,San Pedro,14.35,121.0167,90.0,70,40,6.91,PH,scattered clouds,2021-04-23 02:08:49
690,Novonukutskiy,53.7002,102.7117,36.39,33,100,8.23,RU,overcast clouds,2021-04-23 02:08:50
691,Comodoro Rivadavia,-45.8667,-67.5,42.8,87,0,5.75,AR,clear sky,2021-04-23 02:08:50
692,Mangan,27.5167,88.5333,72.61,30,0,1.03,IN,clear sky,2021-04-23 02:08:50
693,Camana,-16.6228,-72.7111,68.11,85,71,7.99,PE,broken clouds,2021-04-23 02:08:51
694,Zhanaozen,43.3,52.8,62.02,21,100,13.89,KZ,overcast clouds,2021-04-23 02:08:51
695,Baykit,61.67,96.37,31.91,78,97,6.46,RU,overcast clouds,2021-04-23 02:08:51
696,Takoradi,4.8845,-1.7554,80.78,87,99,7.43,GH,overcast clouds,2021-04-23 02:07:01
